ghg_id,fabric_group,fabric_name,fabric_type,process_step,country,env_impact_group,indicator_unit,fabric_eKPI_intensity,ePL_eKPI_intensity
957,Animal Fibers,cashmere,conventional,Washing,India,GHGs,kg CO2e,3.205461721,0.235528621
958,Animal Fibers,wool,conventional,Washing,India,GHGs,kg CO2e,0.991459082,0.072849721
959,Plant Fibers,hemp,None,Ginning,India,GHGs,kg CO2e,0.000160365,1.18E-05
960,Plant Fibers,linen,conventional,Ginning,India,GHGs,kg CO2e,0.297733903,0.021876679
961,Leather,sheep/lamb,conventional,Animal rearing,India,GHGs,kg CO2e,15.33609917,1.126854914
962,Plant Fibers,hemp,None,Crop farming,India,GHGs,kg CO2e,3.2438421,0.238348707
963,Plant Fibers,cotton,organic,Crop farming,India,GHGs,kg CO2e,3.472448714,0.2551461
964,Animal Fibers,wool,conventional,Animal rearing,India,GHGs,kg CO2e,127.4266853,9.362966743
965,Leather,sheep/goat,conventional,Animal rearing,India,GHGs,kg CO2e,33.64593171,2.472211679
966,Synthetic Fibers,elastic,None,Extraction,India,GHGs,kg CO2e,0.069097484,0.005077095
967,Plant Fibers,cotton,conventional,Ginning,Indonesia,GHGs,kg CO2e,0.84021602,0.061736791
968,Synthetic Fibers,acrylic,None,Processing,Indonesia,GHGs,kg CO2e,6.248454625,0.459119475
969,Synthetic Fibers,nylon,conventional,Processing,Indonesia,GHGs,kg CO2e,33.14021089,2.435052687
970,Plant Fibers,cotton,conventional,Crop farming,Indonesia,GHGs,kg CO2e,4.767992276,0.350339123
971,Leather,sheep/lamb,conventional,Tanning - RH_WB,Iraq,GHGs,kg CO2e,0.866120644,0.063640193
972,Leather,beef/calf,conventional,Abattoir,Ireland,GHGs,kg CO2e,0.513481904,0.037729256
973,Leather,beef/calf,conventional,Tanning - RH_WB,Ireland,GHGs,kg CO2e,0.866120644,0.063640193
974,Synthetic Fibers,elastic,None,Processing,Ireland,GHGs,kg CO2e,1.246312904,0.091575687
975,Synthetic Fibers,polyester,conventional,Processing,Ireland,GHGs,kg CO2e,3.794428291,0.278804285
976,Synthetic Fibers,nylon,conventional,Processing,Ireland,GHGs,kg CO2e,18.07025374,1.327753166
977,Leather,beef/calf,conventional,Animal rearing,Ireland,GHGs,kg CO2e,17.05334306,1.253033331
978,Synthetic Fibers,elastic,None,Extraction,Ireland,GHGs,kg CO2e,0.069097484,0.005077095
979,Leather,sheep/lamb,conventional,Abattoir,Israel,GHGs,kg CO2e,0.587937385,0.043200042
980,Synthetic Fibers,elastic,None,Processing,Israel,GHGs,kg CO2e,1.215782526,0.089332398
981,Plant Fibers,cotton,organic,Crop farming,Israel,GHGs,kg CO2e,0.796958876,0.058558374
982,Synthetic Fibers,elastic,None,Extraction,Israel,GHGs,kg CO2e,0.069097484,0.005077095
983,Leather,goat,conventional,Abattoir,Italy,GHGs,kg CO2e,0.578786832,0.042527684
984,Animal Fibers,silk,conventional,Spinning Weaving and Dyeing,Italy,GHGs,kg CO2e,4.542953634,0.333803894
985,Animal Fibers,wool,regenerated,Spinning Weaving and Dyeing,Italy,GHGs,kg CO2e,4.542953634,0.333803894
986,Animal Fibers,wool,restorative grazing,Spinning Weaving and Dyeing,Italy,GHGs,kg CO2e,4.542953634,0.333803894
987,Synthetic Fibers,elastic,None,Spinning Weaving and Dyeing,Italy,GHGs,kg CO2e,4.637563146,0.340755544
988,Synthetic Fibers,nylon,Econyl,Spinning Weaving and Dyeing,Italy,GHGs,kg CO2e,4.637563146,0.340755544
989,Synthetic Fibers,nylon,conventional,Spinning Weaving and Dyeing,Italy,GHGs,kg CO2e,9.275126291,0.681511089
990,Synthetic Fibers,polyester,conventional,Spinning Weaving and Dyeing,Italy,GHGs,kg CO2e,4.637563146,0.340755544
991,Leather,sheep/goat,conventional,Tanning - RH_WB,Italy,GHGs,kg CO2e,1.428452399,0.104958803
992,Fur,None,None,Tanning - RH_WB,Italy,GHGs,kg CO2e,0.866120644,0.063640193
993,Fur,None,None,Tanning - WB_FL,Italy,GHGs,kg CO2e,1.054171113,0.07745763
994,Leather,beef/calf,conventional,Tanning - RH_WB,Italy,GHGs,kg CO2e,0.866120644,0.063640193
995,Leather,beef/calf,conventional,Tanning - WB_FL,Italy,GHGs,kg CO2e,1.054171113,0.07745763
996,Leather,beef/calf,conventional,Tanning - WB_FL - Metal-free,Italy,GHGs,kg CO2e,0.953909563,0.070090684
997,Leather,beef/calf,salpa,Tanning - RH_WB,Italy,GHGs,kg CO2e,0.001443053,0.000106032
998,Leather,beef/calf,salpa,Tanning - WB_FL,Italy,GHGs,kg CO2e,0.001756366,0.000129053
999,Leather,deer,None,Tanning - WB_FL,Italy,GHGs,kg CO2e,1.054171113,0.07745763
1000,Leather,goat,conventional,Tanning - WB_FL,Italy,GHGs,kg CO2e,1.054171113,0.07745763
1001,Animal Fibers,cashmere,regenerated,Washing,Italy,GHGs,kg CO2e,0.77821801,0.057181346
1002,Plant Fibers,hemp,None,Ginning,Italy,GHGs,kg CO2e,0.000160365,1.18E-05
1003,Plant Fibers,cotton,conventional,Ginning,Italy,GHGs,kg CO2e,0.764760233,0.056192505
1004,Plant Fibers,linen,conventional,Ginning,Italy,GHGs,kg CO2e,0.297611235,0.021867665
1005,Synthetic Fibers,acrylic,None,Processing,Italy,GHGs,kg CO2e,3.415741349,0.250979397
1006,Synthetic Fibers,elastic,None,Processing,Italy,GHGs,kg CO2e,1.246312904,0.091575687
1007,Synthetic Fibers,neoprene,None,Processing,Italy,GHGs,kg CO2e,1.837829403,0.135038713
1008,Synthetic Fibers,nylon,conventional,Processing,Italy,GHGs,kg CO2e,18.07025374,1.327753166
1009,Plant Fibers,linen,conventional,Crop farming,Italy,GHGs,kg CO2e,0.94052843,0.069107475
1010,Fur,None,None,Animal rearing,Italy,GHGs,kg CO2e,114.684372,8.426696169
1011,Animal Fibers,silk,conventional,Silk production,Italy,GHGs,kg CO2e,48.254945,3.545642298
1012,Synthetic Fibers,acrylic,None,Extraction,Italy,GHGs,kg CO2e,0.183277929,0.013466764
1013,Synthetic Fibers,neoprene,None,Extraction,Italy,GHGs,kg CO2e,0.100229931,0.007364623
1014,Animal Fibers,cashmere,regenerated,Spinning Weaving and Dyeing,Japan,GHGs,kg CO2e,5.607281452,0.412007812
1015,Animal Fibers,silk,organic,Spinning Weaving and Dyeing,Japan,GHGs,kg CO2e,5.607281452,0.412007812
1016,Animal Fibers,wool,organic,Spinning Weaving and Dyeing,Japan,GHGs,kg CO2e,5.607281452,0.412007812
1017,Animal Fibers,wool,regenerated,Spinning Weaving and Dyeing,Japan,GHGs,kg CO2e,5.607281452,0.412007812
1018,Plant Fibers,cotton,conventional,Spinning Weaving and Dyeing,Japan,GHGs,kg CO2e,5.350477029,0.39313852
1019,Plant Fibers,linen,organic,Spinning Weaving and Dyeing,Japan,GHGs,kg CO2e,5.350477029,0.39313852
1020,Animal Fibers,wool,conventional,Washing,Japan,GHGs,kg CO2e,0.93271402,0.068533293
1021,Plant Fibers,cotton,conventional,Ginning,Japan,GHGs,kg CO2e,0.683494462,0.050221317
1022,Synthetic Fibers,elastic,None,Processing,Japan,GHGs,kg CO2e,1.349249032,0.099139154
1023,Synthetic Fibers,nylon,conventional,Processing,Japan,GHGs,kg CO2e,19.62603939,1.44206807
1024,Animal Fibers,wool,conventional,Animal rearing,Japan,GHGs,kg CO2e,127.2008585,9.346373606
1025,Synthetic Fibers,elastic,None,Extraction,Japan,GHGs,kg CO2e,0.069097484,0.005077095
1026,Leather,sheep/lamb,conventional,Abattoir,Jordan,GHGs,kg CO2e,0.589709698,0.043330267
1027,Leather,sheep/goat,conventional,Abattoir,Jordan,GHGs,kg CO2e,0.589709698,0.043330267
1028,Leather,goat,conventional,Abattoir,Jordan,GHGs,kg CO2e,0.503514398,0.03699687
1029,Leather,goat,conventional,Animal rearing,Jordan,GHGs,kg CO2e,79.49785891,5.841286757
1030,Leather,beef/calf,conventional,Animal rearing,Kenya,GHGs,kg CO2e,17.11831636,1.257807393
1031,Leather,sheep/lamb,conventional,Tanning - RH_WB,Lebanon,GHGs,kg CO2e,0.866120644,0.063640193
1032,Synthetic Fibers,polyester,conventional,Processing,Lithuania,GHGs,kg CO2e,3.794428291,0.278804285
1033,Synthetic Fibers,nylon,conventional,Processing,Lithuania,GHGs,kg CO2e,18.07025374,1.327753166
1034,Leather,beef/calf,conventional,Animal rearing,Lithuania,GHGs,kg CO2e,16.98077057,1.247700902
1035,Synthetic Fibers,acrylic,None,Extraction,Lithuania,GHGs,kg CO2e,0.183277929,0.013466764
1036,Plant Fibers,cotton,conventional,Ginning,Madagascar,GHGs,kg CO2e,0.806959808,0.059293215
1037,Plant Fibers,cotton,conventional,Ginning,Mexico,GHGs,kg CO2e,1.000641293,0.073524404
1038,Animal Fibers,wool,conventional,Animal rearing,Mongolia,GHGs,kg CO2e,127.2027576,9.346513145
1039,Fur,lamb,None,Abattoir,Morocco,GHGs,kg CO2e,1.82541288,0.134126381
1040,Leather,sheep/goat,conventional,Abattoir,Morocco,GHGs,kg CO2e,0.589709698,0.043330267
1041,Fur,lamb,None,Tanning - RH_WB,Morocco,GHGs,kg CO2e,0.860990449,0.06326324
1042,Leather,sheep/lamb,conventional,Tanning - RH_WB,Morocco,GHGs,kg CO2e,0.866120644,0.063640193
1043,Synthetic Fibers,elastic,None,Processing,Morocco,GHGs,kg CO2e,1.306996554,0.096034557
1044,Plant Fibers,cotton,conventional,Crop farming,Morocco,GHGs,kg CO2e,3.883805989,0.285371516
1045,Leather,sheep/goat,conventional,Animal rearing,Morocco,GHGs,kg CO2e,33.64593171,2.472211679
1046,Leather,sheep/lamb,conventional,Abattoir,Netherlands,GHGs,kg CO2e,0.454717668,0.033411419
1047,Leather,beef/calf,conventional,Tanning - WB_FL,Netherlands,GHGs,kg CO2e,1.054171113,0.07745763
1048,Leather,beef/calf,conventional,Animal rearing,Netherlands,GHGs,kg CO2e,16.92576036,1.243658901
1049,Synthetic Fibers,elastic,None,Extraction,Netherlands,GHGs,kg CO2e,0.069097484,0.005077095
1050,Leather,sheep/lamb,conventional,Abattoir,New Zealand,GHGs,kg CO2e,0.382433971,0.028100209
1051,Leather,beef/calf,conventional,Abattoir,New Zealand,GHGs,kg CO2e,0.467724891,0.034367155
1052,Leather,goat,conventional,Abattoir,New Zealand,GHGs,kg CO2e,0.160160185,0.011768135
1053,Leather,beef/calf,conventional,Tanning - RH_WB,New Zealand,GHGs,kg CO2e,0.866120644,0.063640193
1054,Leather,sheep/lamb,conventional,Tanning - RH_WB,New Zealand,GHGs,kg CO2e,0.866120644,0.063640193
1055,Animal Fibers,mohair,conventional,Washing,New Zealand,GHGs,kg CO2e,1.262864843,0.092791879
1056,Animal Fibers,wool,restorative grazing,Washing,New Zealand,GHGs,kg CO2e,2.280495641,0.167564626
1057,Animal Fibers,mohair,conventional,Animal rearing,New Zealand,GHGs,kg CO2e,164.594266,12.09393963
1058,Fur,None,None,Animal rearing,New Zealand,GHGs,kg CO2e,104.2284753,7.65842528
1059,Leather,deer,None,Animal rearing,New Zealand,GHGs,kg CO2e,10.42746471,0.766181786
